                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 2.6751,                 2.1653,                 2.2401,                0.67968,                0.41683,                 0.4177,                0.25589,                 3.2968,                 2.5864,                 2.4659,             0.00059039,             0.00059039,             0.00059039
                     73,                 2.6736,                 2.1615,                 2.2519,                0.61398,                0.42141,                0.41241,                0.24983,                 3.3019,                  2.694,                  2.464,             0.00058305,             0.00058305,             0.00058305
                     74,                 2.6505,                 2.1544,                 2.2543,                0.63148,                0.40366,                0.40051,                0.25545,                 3.3026,                 2.6602,                 2.4606,             0.00057572,             0.00057572,             0.00057572
                     75,                 2.6748,                 2.1882,                 2.2814,                0.62031,                0.35542,                0.38274,                0.25015,                 3.2804,                 2.6892,                 2.4537,             0.00056839,             0.00056839,             0.00056839
                     76,                 2.6724,                  2.139,                 2.2667,                0.62876,                 0.4352,                0.42585,                0.25877,                 3.3284,                 2.6798,                 2.4887,             0.00056105,             0.00056105,             0.00056105
                     77,                 2.6842,                 2.1786,                 2.2552,                0.66958,                 0.3946,                0.42453,                0.26605,                 3.2939,                 2.6276,                 2.4423,             0.00055372,             0.00055372,             0.00055372
                     78,                 2.6534,                 2.1256,                 2.2508,                0.60055,                 0.4562,                0.41107,                0.25668,                 3.3042,                 2.6454,                 2.4732,             0.00054639,             0.00054639,             0.00054639
                     79,                 2.7202,                 2.1451,                   2.25,                0.69247,                0.43348,                 0.4335,                0.27237,                  3.309,                 2.5927,                 2.4261,             0.00053906,             0.00053906,             0.00053906
                     80,                 2.6407,                  2.106,                 2.2549,                0.67769,                0.39855,                 0.4215,                0.26773,                 3.3353,                 2.6042,                 2.4635,             0.00053172,             0.00053172,             0.00053172
                     81,                 2.5841,                 2.0828,                 2.2296,                0.62042,                0.42853,                0.43621,                0.25923,                 3.3133,                 2.6176,                 2.4756,             0.00052439,             0.00052439,             0.00052439
                     82,                 2.6834,                 2.1735,                 2.2594,                0.61985,                0.41076,                0.41713,                0.26878,                 3.2926,                 2.6039,                 2.4317,             0.00051706,             0.00051706,             0.00051706
                     83,                  2.572,                 2.0806,                 2.2427,                0.62092,                0.43442,                0.41306,                0.25325,                 3.3178,                 2.6656,                  2.461,             0.00050973,             0.00050973,             0.00050973
                     84,                 2.6019,                  2.116,                 2.2202,                0.67087,                0.43204,                0.43794,                0.26386,                 3.2995,                 2.6907,                 2.4547,             0.00050239,             0.00050239,             0.00050239
                     85,                 2.5914,                 2.1101,                 2.2366,                0.67393,                0.43085,                0.44508,                0.26728,                 3.3182,                 2.6124,                 2.4594,             0.00049506,             0.00049506,             0.00049506
                     86,                 2.6101,                  2.089,                 2.2093,                0.68973,                0.40604,                0.42962,                0.26713,                 3.3096,                 2.6223,                 2.4638,             0.00048773,             0.00048773,             0.00048773
                     87,                  2.626,                 2.1107,                 2.2446,                0.60961,                0.39653,                0.40267,                0.26307,                 3.2892,                 2.6389,                 2.4723,              0.0004804,              0.0004804,              0.0004804
                     88,                 2.6272,                    2.1,                 2.2315,                0.65143,                0.40182,                0.40884,                0.26193,                 3.2889,                  2.602,                 2.4522,             0.00047306,             0.00047306,             0.00047306
                     89,                 2.6484,                 2.1492,                  2.255,                0.63261,                0.41495,                0.42136,                0.26574,                 3.2705,                 2.5922,                 2.4474,             0.00046573,             0.00046573,             0.00046573
                     90,                 2.5894,                 2.0898,                 2.2182,                0.59712,                0.44698,                0.42619,                0.27449,                 3.3077,                 2.5903,                 2.4652,              0.0004584,              0.0004584,              0.0004584
                     91,                 2.6375,                 2.1196,                 2.2273,                 0.6228,                0.42144,                0.42858,                0.27467,                 3.3305,                  2.603,                 2.4638,             0.00045107,             0.00045107,             0.00045107
                     92,                 2.6193,                 2.0604,                 2.2154,                0.66508,                0.42687,                0.43038,                0.27206,                 3.3327,                  2.611,                 2.4726,             0.00044373,             0.00044373,             0.00044373
                     93,                 2.5902,                 2.0482,                 2.2218,                 0.6277,                0.42518,                0.41267,                  0.246,                 3.2907,                  2.597,                 2.4824,              0.0004364,              0.0004364,              0.0004364
                     94,                 2.6014,                 2.0563,                 2.2054,                0.67947,                0.42417,                0.42047,                0.27385,                 3.3421,                 2.6089,                 2.4767,             0.00042907,             0.00042907,             0.00042907
                     95,                 2.5634,                 2.0533,                 2.2055,                0.62369,                0.42454,                 0.4116,                0.26739,                 3.2878,                  2.574,                 2.4258,             0.00042174,             0.00042174,             0.00042174
                     96,                 2.6164,                  2.073,                 2.1964,                0.62443,                0.40651,                 0.4133,                0.27216,                  3.272,                 2.5481,                 2.4308,              0.0004144,              0.0004144,              0.0004144
                     97,                 2.5658,                 2.0377,                 2.2083,                0.62696,                0.42309,                0.43134,                0.27591,                 3.2638,                 2.5886,                 2.4314,             0.00040707,             0.00040707,             0.00040707
                     98,                 2.5691,                 2.0725,                 2.1962,                0.69507,                0.40893,                0.43492,                0.26789,                 3.2673,                 2.5846,                 2.4337,             0.00039974,             0.00039974,             0.00039974
                     99,                 2.5252,                 2.0036,                 2.2112,                0.63689,                0.43804,                0.42558,                0.27018,                 3.2725,                 2.5791,                 2.4373,             0.00039241,             0.00039241,             0.00039241
                    100,                 2.5365,                 2.0362,                 2.1902,                0.61687,                0.43838,                0.43075,                  0.269,                 3.3065,                 2.6199,                 2.4564,             0.00038507,             0.00038507,             0.00038507
                    101,                   2.55,                 2.0347,                 2.1988,                0.65612,                0.49663,                0.45294,                0.27612,                 3.2818,                 2.5817,                 2.4526,             0.00037774,             0.00037774,             0.00037774
                    102,                 2.5325,                 2.0296,                 2.1863,                0.63686,                 0.4728,                0.44936,                0.27876,                 3.2465,                 2.5424,                  2.413,             0.00037041,             0.00037041,             0.00037041
                    103,                  2.502,                 1.9952,                 2.1921,                0.65413,                0.48541,                0.46025,                0.28588,                 3.2513,                 2.5713,                 2.4414,             0.00036307,             0.00036307,             0.00036307
                    104,                 2.6005,                 2.0597,                 2.2147,                0.59553,                0.42353,                 0.4126,                 0.2726,                 3.3059,                 2.5792,                 2.4437,             0.00035574,             0.00035574,             0.00035574
                    105,                 2.5809,                 2.0761,                 2.2188,                0.64284,                0.44662,                0.43388,                0.27278,                 3.2902,                 2.5676,                 2.4392,             0.00034841,             0.00034841,             0.00034841
                    106,                 2.5362,                 2.0196,                 2.1927,                0.66774,                0.46764,                0.45733,                0.28158,                 3.2883,                 2.5167,                 2.4334,             0.00034108,             0.00034108,             0.00034108
                    107,                 2.5106,                 1.9853,                 2.1797,                0.61324,                0.45163,                0.43002,                0.27237,                 3.2731,                 2.5859,                 2.4214,             0.00033374,             0.00033374,             0.00033374
                    108,                 2.5252,                 2.0236,                 2.2046,                0.68729,                0.43302,                0.45122,                0.28333,                 3.2753,                 2.5539,                 2.4457,             0.00032641,             0.00032641,             0.00032641
                    109,                 2.5065,                 1.9677,                 2.1711,                0.66249,                0.49386,                0.47686,                0.27829,                 3.2332,                 2.5219,                 2.4119,             0.00031908,             0.00031908,             0.00031908
                    110,                 2.5661,                 2.0231,                 2.1935,                0.65732,                0.46615,                0.45128,                0.28437,                 3.2116,                 2.5696,                 2.4171,             0.00031175,             0.00031175,             0.00031175
                    111,                 2.4742,                 1.9523,                 2.1743,                0.62702,                0.48063,                0.44112,                0.27969,                 3.2544,                 2.5171,                 2.4451,             0.00030441,             0.00030441,             0.00030441
                    112,                 2.5261,                 2.0197,                 2.1735,                 0.6898,                0.43766,                0.44026,                0.26816,                 3.3276,                 2.5601,                 2.4485,             0.00029708,             0.00029708,             0.00029708
                    113,                 2.4979,                 1.9705,                 2.1608,                0.67372,                0.45103,                0.44006,                0.27195,                 3.2913,                 2.5314,                 2.4359,             0.00028975,             0.00028975,             0.00028975
                    114,                 2.5238,                 1.9781,                 2.1601,                0.64455,                0.48632,                0.44877,                0.28475,                 3.2674,                 2.5279,                 2.4368,             0.00028242,             0.00028242,             0.00028242
                    115,                 2.4735,                 1.9549,                  2.154,                0.67404,                0.46184,                0.46269,                0.27909,                 3.3164,                 2.5617,                 2.4619,             0.00027508,             0.00027508,             0.00027508
                    116,                 2.5452,                 1.9842,                 2.1707,                0.68557,                0.47337,                0.46414,                0.28822,                 3.2872,                 2.6279,                 2.4391,             0.00026775,             0.00026775,             0.00026775
                    117,                 2.4747,                 1.9424,                  2.166,                0.67419,                0.48066,                0.46651,                0.28213,                 3.3003,                 2.5795,                 2.4414,             0.00026042,             0.00026042,             0.00026042
