                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.97405,                0.78155,                 1.1645,                0.63586,                0.40476,                0.37924,                0.24615,                 1.3199,                0.94486,                 1.2662,             0.00064905,             0.00064905,             0.00064905
                     65,                0.93984,                   0.78,                 1.1519,                 0.6367,                0.43276,                0.41923,                0.26648,                 1.3071,                0.95304,                 1.2349,             0.00064171,             0.00064171,             0.00064171
                     66,                0.97874,                0.78901,                 1.1735,                0.70041,                0.41605,                0.41983,                0.26579,                 1.2821,                0.93063,                   1.22,             0.00063438,             0.00063438,             0.00063438
                     67,                0.98548,                0.79296,                 1.1649,                 0.6483,                0.42067,                0.43247,                0.27763,                 1.3088,                0.93722,                 1.2594,             0.00062705,             0.00062705,             0.00062705
                     68,                0.97596,                0.78191,                 1.1662,                0.74599,                 0.4382,                0.44221,                0.26464,                 1.3204,                0.95695,                 1.2505,             0.00061972,             0.00061972,             0.00061972
                     69,                0.96474,                0.76073,                 1.1662,                0.69287,                0.40147,                0.41174,                0.26403,                 1.3035,                0.96545,                 1.2547,             0.00061238,             0.00061238,             0.00061238
                     70,                0.96836,                0.77716,                 1.1643,                0.66041,                0.44095,                0.42605,                0.26591,                 1.3175,                0.93224,                 1.2556,             0.00060505,             0.00060505,             0.00060505
                     71,                0.95767,                0.75245,                 1.1593,                0.71756,                0.46217,                0.44753,                0.27128,                 1.3268,                0.95342,                 1.2334,             0.00059772,             0.00059772,             0.00059772
                     72,                0.95113,                0.75253,                 1.1481,                0.63123,                0.40538,                0.39702,                0.26476,                 1.3014,                0.95006,                 1.2589,             0.00059039,             0.00059039,             0.00059039
                     73,                0.95621,                0.76504,                 1.1629,                0.69247,                0.42599,                0.43062,                0.27447,                 1.3222,                0.93724,                 1.2564,             0.00058305,             0.00058305,             0.00058305
                     74,                0.94563,                0.75816,                 1.1372,                0.67371,                0.46362,                0.44554,                0.27508,                 1.2993,                0.95153,                 1.2428,             0.00057572,             0.00057572,             0.00057572
                     75,                0.96417,                0.77825,                 1.1568,                0.72331,                0.45537,                0.44642,                0.27277,                 1.3134,                0.94064,                 1.2701,             0.00056839,             0.00056839,             0.00056839
                     76,                0.96206,                0.77002,                 1.1502,                0.70968,                0.42416,                0.43803,                0.27179,                 1.3137,                0.91633,                 1.2714,             0.00056105,             0.00056105,             0.00056105
                     77,                0.95085,                0.74817,                 1.1436,                0.69715,                  0.427,                0.43426,                0.27207,                 1.3227,                0.95316,                 1.2512,             0.00055372,             0.00055372,             0.00055372
                     78,                0.95423,                 0.7532,                 1.1483,                0.69609,                0.43272,                0.44202,                0.27218,                 1.3118,                0.96028,                 1.2651,             0.00054639,             0.00054639,             0.00054639
                     79,                0.96254,                0.74934,                 1.1451,                0.67842,                0.43098,                0.44973,                0.27455,                 1.3419,                0.94533,                 1.2681,             0.00053906,             0.00053906,             0.00053906
                     80,                0.94301,                0.75947,                 1.1368,                 0.7296,                0.37601,                0.43142,                0.27174,                 1.2878,                0.95873,                 1.2534,             0.00053172,             0.00053172,             0.00053172
                     81,                 0.9348,                 0.7303,                 1.1299,                0.68079,                0.45117,                0.42297,                0.26707,                 1.3539,                0.94933,                 1.2869,             0.00052439,             0.00052439,             0.00052439
                     82,                0.97175,                0.75542,                  1.152,                0.69609,                0.48681,                0.46226,                0.28062,                 1.3317,                0.92176,                 1.2575,             0.00051706,             0.00051706,             0.00051706
                     83,                0.94139,                0.73733,                 1.1339,                0.67481,                0.44919,                0.43595,                0.27522,                 1.3097,                0.93592,                 1.2523,             0.00050973,             0.00050973,             0.00050973
                     84,                0.93974,                 0.7338,                 1.1313,                0.71385,                0.42273,                0.44372,                0.27137,                 1.3844,                0.99718,                  1.282,             0.00050239,             0.00050239,             0.00050239
                     85,                0.95211,                0.74085,                  1.142,                0.73657,                0.44592,                0.44141,                0.27209,                 1.3162,                0.91484,                 1.2527,             0.00049506,             0.00049506,             0.00049506
                     86,                0.91843,                0.71593,                 1.1335,                0.67637,                0.46177,                0.45038,                0.27868,                 1.3054,                0.93485,                 1.2421,             0.00048773,             0.00048773,             0.00048773
                     87,                0.94566,                 0.7443,                 1.1311,                0.71489,                0.47569,                0.44472,                0.27948,                 1.3297,                0.92275,                 1.2534,              0.0004804,              0.0004804,              0.0004804
                     88,                0.92714,                0.72898,                 1.1262,                0.70865,                0.44072,                0.45489,                0.27867,                 1.3239,                0.90579,                 1.2651,             0.00047306,             0.00047306,             0.00047306
                     89,                0.96183,                0.73536,                 1.1363,                0.68022,                  0.465,                0.45304,                0.28137,                 1.2891,                0.93445,                 1.2319,             0.00046573,             0.00046573,             0.00046573
                     90,                 0.9514,                0.72361,                  1.133,                 0.6469,                0.45796,                 0.4435,                0.27329,                 1.3104,                0.93529,                 1.2504,              0.0004584,              0.0004584,              0.0004584
                     91,                 0.9252,                0.71423,                 1.1243,                0.70794,                0.46705,                0.46208,                0.29169,                 1.3055,                0.90836,                 1.2762,             0.00045107,             0.00045107,             0.00045107
                     92,                0.91308,                0.70448,                 1.1254,                0.67245,                0.47994,                 0.4459,                0.27401,                 1.3057,                0.90964,                 1.2597,             0.00044373,             0.00044373,             0.00044373
                     93,                0.90965,                0.69384,                 1.1167,                0.70075,                0.42564,                0.42569,                0.27462,                 1.3318,                0.92023,                 1.2724,              0.0004364,              0.0004364,              0.0004364
                     94,                0.93002,                0.71909,                 1.1294,                0.59601,                0.44798,                0.37583,                0.24913,                 1.3775,                 1.0208,                 1.2939,             0.00042907,             0.00042907,             0.00042907
                     95,                0.91533,                0.72082,                 1.1182,                0.69083,                0.43201,                0.43411,                0.27607,                 1.2945,                 0.9442,                 1.2519,             0.00042174,             0.00042174,             0.00042174
                     96,                0.89615,                0.70155,                 1.1103,                0.65355,                0.48467,                0.46075,                0.27716,                 1.3124,                0.91943,                 1.2755,              0.0004144,              0.0004144,              0.0004144
                     97,                0.95146,                0.74149,                  1.126,                0.65161,                0.44557,                0.44064,                0.27007,                 1.3208,                0.95806,                 1.2635,             0.00040707,             0.00040707,             0.00040707
                     98,                0.89653,                0.72066,                 1.1151,                0.69366,                0.45821,                0.45772,                0.27892,                 1.3383,                0.90426,                 1.2697,             0.00039974,             0.00039974,             0.00039974
                     99,                 0.8947,                0.69128,                 1.1202,                0.72331,                0.45543,                0.45638,                0.28631,                  1.322,                0.88631,                 1.2519,             0.00039241,             0.00039241,             0.00039241
                    100,                0.90341,                0.69627,                  1.112,                0.73346,                0.42903,                0.45885,                0.28321,                 1.3124,                 0.9324,                 1.2538,             0.00038507,             0.00038507,             0.00038507
                    101,                0.93902,                0.71824,                 1.1224,                 0.6407,                0.45275,                0.44584,                0.27746,                 1.3093,                0.93952,                 1.2474,             0.00037774,             0.00037774,             0.00037774
                    102,                0.91812,                0.71192,                 1.1209,                0.44525,                0.48816,                0.46206,                0.28389,                  1.296,                0.92654,                 1.2372,             0.00037041,             0.00037041,             0.00037041
                    103,                0.90709,                0.69975,                 1.1115,                0.70034,                0.46381,                0.47386,                0.29487,                 1.3006,                 0.9164,                 1.2482,             0.00036307,             0.00036307,             0.00036307
                    104,                0.92168,                0.71693,                 1.1215,                 0.5269,                0.44835,                0.45587,                0.29625,                 1.3203,                 0.9022,                 1.2544,             0.00035574,             0.00035574,             0.00035574
                    105,                0.90036,                0.70158,                 1.1083,                0.69856,                0.45963,                0.46459,                0.28849,                 1.3347,                0.91065,                 1.2536,             0.00034841,             0.00034841,             0.00034841
                    106,                0.89785,                0.68109,                  1.104,                 0.6707,                0.44266,                0.46109,                 0.2846,                 1.3008,                0.92239,                 1.2449,             0.00034108,             0.00034108,             0.00034108
                    107,                0.88021,                0.67575,                 1.1082,                0.71247,                0.48531,                 0.4743,                0.28255,                 1.3404,                 0.9142,                 1.2509,             0.00033374,             0.00033374,             0.00033374
                    108,                0.87894,                0.67453,                 1.1054,                0.68252,                0.46615,                 0.4662,                0.28408,                 1.2951,                0.91677,                 1.2427,             0.00032641,             0.00032641,             0.00032641
